Hospital Name,City,StaffedBeds,TotalDischarges,PatientDays,Gross PatientRevenue ($000)
 Carle Richland Memorial Hospital,Olney,81,1218,3954,174055
 Northwestern Medicine Kishwaukee Hospital,DeKalb,98,5257,22918,1029869
AdventHealth Bolingbrook,Bolingbrook,134,5159,21501,663377
AdventHealth GlenOaks,Glendale Heights,138,4636,23126,282596
AdventHealth Hinsdale,Hinsdale,261,9104,43576,865900
AdventHealth La Grange,La Grange,177,6309,28480,582797
Advocate Christ Medical Center,Oak Lawn,782,38806,219199,3683005
Advocate Condell Medical Center,Libertyville,273,14177,71353,1415880
Advocate Good Samaritan Hospital,Downers Grove,288,15249,68733,1162077
Advocate Good Shepherd Hospital,Barrington,176,10039,39271,860020
Advocate Illinois Masonic Medical Center,Chicago,292,11677,52130,1827175
Advocate Lutheran General Hospital,Park Ridge,643,26642,148612,2514649
Advocate Sherman Hospital,Elgin,255,18591,54775,1287999
Advocate South Suburban Hospital,Hazel Crest,233,9679,44688,820081
Advocate Trinity Hospital,Chicago,225,7336,32004,582588
Alton Memorial Hospital,Alton,129,6408,27623,550085
Anderson Hospital,Maryville,154,6194,24391,617836
Ascension Alexian Brothers in Elk Grove Village,Elk Grove Village,354,14604,74192,2271795
Ascension Mercy in Aurora,Aurora,258,5109,25475,1023822
Ascension Resurrection in Chicago,Chicago,254,11260,60087,1654163
Ascension Saint Elizabeth in Chicago,Chicago,219,7753,40230,202651
Ascension Saint Francis in Evanston,Evanston,146,5656,28734,918306
Ascension Saint Joseph - Elgin,Elgin,184,4445,23255,797400
Ascension Saint Joseph -Chicago,Chicago,251,8781,43774,855296
Ascension Saint Joseph-Joliet,Joliet,466,14030,70800,2024414
Ascension Saint Mary -Chicago,Chicago,323,9249,75316,1348824
Ascension St. Alexius in Hoffman Estates,Hoffman Estates,318,14512,70143,1587799
Ascension St. Mary- Kankakee,Kankakee,169,4959,20457,833543
Blessing Hospital,Quincy,327,13052,66059,1934690
Cancer Treatment Centers of America Chicago,Zion,73,950,4699,0
Carle BroMenn Medical Center,Normal,221,15579,31970,994975
Carle Foundation Hospital,Urbana,447,27221,118308,3932948
CGH Medical Center,Sterling,98,3549,13768,905169
Community First Medical Center,Chicago,279,4078,26990,444682
Crossroads Community Hospital,Mount Vernon,47,899,2459,232653
Decatur Memorial Hospital,Decatur,178,6433,31903,1093475
Edward Hospital - Main Campus,Naperville,294,19933,87313,3722209
Elmhurst Hospital ,Elmhurst,258,17048,74771,2947061
Evanston Hospital,Evanston,719,35146,170667,5838391
FHN Memorial Hospital,Freeport,100,3082,11887,521155
Franciscan Health Olympia Fields Campus,Olympia Fields,206,10623,50024,1185952
Gateway Regional Medical Center,Granite City,305,4376,19119,671245
Genesis Medical Center Silvis,Silvis,145,3248,10185,314952
Graham Hospital,Canton,81,1855,7126,233146
Harrisburg Medical Center,Harrisburg,68,722,1874,126397
Heartland Regional Medical Center,Marion,94,1892,6777,477513
Herrin Hospital,Herrin,114,5604,23818,679321
Holy Cross Hospital,Chicago,155,5558,29809,432025
HSHS Good Shepherd Hospital,Shelbyville,30,236,725,40087
HSHS Holy Family Hospital,Greenville,28,459,1684,65457
HSHS Saint Anthony's Memorial Hospital,Effingham,133,3266,12175,409797
HSHS Saint Elizabeth's Hospital,O'Fallon,144,8920,41747,1073818
HSHS Saint John's Hospital,Springfield,422,18580,113034,2238224
HSHS Saint Joseph's Hospital Breese,Breese,46,1179,4553,149563
HSHS Saint Mary's Hospital,Decatur,207,4696,24119,694414
Humbolt Park Health,Chicago,185,4570,31982,366005
