hospital_name,city,latitude,longitude,google_stars
Carle Richland Memorial Hospital,Olney,38.735037,-88.077077,3.1
Northwestern Medicine Kishwaukee Hospital,DeKalb,41.929474,-88.750365,2.4
AdventHealth Bolingbrook,Bolingbrook,41.680731,-88.083622,2.5
AdventHealth GlenOaks,Glendale Heights,41.914654,-88.057238,2.7
AdventHealth Hinsdale,Hinsdale,41.805609,-87.920693,3.2
AdventHealth La Grange,La Grange,41.796662,-87.886265,3
Advocate Christ Medical Center,Oak Lawn,41.721989,-87.732829,3.4
Advocate Condell Medical Center,Libertyville,42.274473,-87.957637,2.6
Advocate Good Samaritan Hospital,Downers Grove,41.817932,-88.009037,2.9
Advocate Good Shepherd Hospital,Barrington,42.152293,-88.131016,3.1
Advocate Illinois Masonic Medical Center,Chicago,41.936758,-87.651264,3.1
Advocate Lutheran General Hospital,Park Ridge,42.038367,-87.848199,3
Advocate Sherman Hospital,Elgin,42.069926,-88.331159,2.9
Advocate South Suburban Hospital,Hazel Crest,41.566094,-87.694652,2.5
Advocate Trinity Hospital,Chicago,41.726205,-87.567585,2.4
Alton Memorial Hospital,Alton,38.912504,-90.167302,2.6
Anderson Hospital,Maryville,38.738184,-89.947281,2.4
Ascension Alexian Brothers in Elk Grove Village,Elk Grove Village,42.004684,-88.016638,5
Ascension Mercy in Aurora,Aurora,41.785559,-88.325726,2.6
Ascension Resurrection in Chicago,Chicago,41.98756,-87.813119,4.7
Ascension Saint Elizabeth in Chicago,Chicago,41.907097,-87.685386,2.7
Ascension Saint Francis in Evanston,Evanston,42.025783,-87.683714,3.4
Ascension Saint Joseph - Elgin,Elgin,42.035778,-88.326727,2.8
Ascension Saint Joseph -Chicago,Chicago,41.934178,-87.635794,2.9
Ascension Saint Joseph-Joliet,Joliet,41.527604,-88.136163,2.4
Ascension Saint Mary -Chicago,Chicago,41.904141,-87.682536,3
Ascension St. Alexius in Hoffman Estates,Hoffman Estates,42.053239,-88.141108,2.5
Ascension St. Mary- Kankakee,Kankakee,41.120499,-87.87204,2.9
Blessing Hospital,Quincy,39.935526,-91.365444,3.9
Cancer Treatment Centers of America Chicago,Zion,42.449209,-87.817979,3.9
Captain James A. Lovell Federal Health Care Center,North Chicago,42.305515,-87.852495,3.9
Carle BroMenn Medical Center,Normal,40.497486,-88.991531,2.5
Carle Foundation Hospital,Urbana,40.11692,-88.214825,2.8
CGH Medical Center,Sterling,41.801588,-89.697139,2.7
